ID,Text,Star
62183,"Not only do I not have the option to turn off the extremely glitchy group tab feature that google support has no answers for, but I can no longer add tabs to my home screen instead of bookmarking them (sync feature doesn't work so I can't view bookmarks or full history on other devices, support doesn't have answers for that either).",1
68647,Sir I unable to update this app Sir please help me to update it,1
68652,The update closed all my tabs and now I can't find the things I had open! if it's going to close your tabs give a warning so you can like screenshot what you have open or something.,1
68658,I wish i didnt update.,1
68660,I don't no anythingthats on this phone,1
68669,"Yo after this update, chrome is booty cheeks bruh on god",1
68686,"Wish I could rate it a zero. Ever since I updated all it does is send messages saying I have a virus and constant adds. Tried to delete the update, but it still keeps doing it.",1
68691,Great,1
68717,I don't want my business shared with anyone. I have been violated. I want sharing my information off. Please clear sharing with everyone.,1
68724,"This app will not update. So I'm gonna uninstall and download a better web bro see l tellwser. Let's hope that it does automatic updates, is safe and especially reliable. Google being one of the biggest Tech Giants today, we would at least think that the app would not of been this long without being fixed. Another reason I'm uninstalling is because of the length of time I have gotten linked back to the play store to update the app that simply won't do anything you can not even open the app.",1
69263,Can not update at all. Please advise,1
69273,Good,1
69275,This app not updated yet I already trying again and again but not updated poor service,1
69277,Nahi ho raha ha updated,1
69286,Why tf can't i update the damn app?,1
69288,super,1
78724,Nice,1
78738,Is fast secure I love it,1
78740,Not so good also not bad,1
78750,"it simply doesn't work. whenever i try to search something on google and open a certain link, the screen just goes black, and after some long seconds (maybe 30?), it crashes. it also takes a very long time to back up after trying to open the link. after noticing this, i went to the google app store to see if i had to update it, and it does show in fact that it needs an update, but it just doesn't. it's either stuck on ""pending"" or just stops. please try to fix this asap!",1
78759,Good,1
78762,Honestly if I could give it less I would. Cant even searcg anything after the update,1
78778,"When I try to update this app It doesn't allow me to. Well, I don't think it's my phone's fault. I clean the cache and couldn't uninstall to install back. Is there any way I can update this app?",1
78786,Its constantly showing clean phone after i cleaned it,1
78791,Plz how do u delete this,1
78815,Won't update and can't use it much and it's the only browser I have and use please fix this,1
78822,Trying to update chrome for over a week now and it refuses to update...it is 2 months now still can't update...I've given up and moved to DUCKDUCKGO....MUCH BETTER quick for loading and best for privacy...won't be going back to Google Chrome,1
83275,"The ""feature"" that allows Chrome to offline pages to save data is instead very inconvenient bug. I can't even get the page to load from a refresh, it always hits the offline cache. This probably works fine for SPAs but not server-side rendered sites.",1
83326,Its not responding to my request when I am searching or visiting a link. Please fix this. Thanks.,1
87037,"Always have to download updates from apkmirror, update from here crashes chrome! Update: Bromite is so much better, comes with ad-blocker too.",1
87071,Fine,1
87096,t Thanks again Vietta how's your car doing well I hope you have a great day and I will be able and willing to help you out with the next steps for me to do that we need to get the update on the status of the order I placed the order on your way back to the office I will send you my email address to use it for you if you need anything else from me please let me know what you need from me to get you a copy of the order I placed the right number for you to call for the next couple weeks so I'm goi.,1
87098,Good,1
87102,Please help me chrome team Google chrome new update is showing in play store when I click on update the app is not updating please help me 🙏🙏🙏,1
87111,Chrome is not getting update i have click on update button but it get canceled immediately i have tried many times but same is happening. Please fix this!!,1
87134,Unable to update the application on Samsung tab a. Please help Google developer,1
90424,I updated just before 5 mins and its keep crashing. It freezes on startup and not able to any thing. It shows internet connection issue but on other side am getting continuous emails. Please fix.,1
90440,"I've just accessed my apps and games library specifically to see whether I've missed an update; I don't know what's going on but I'm having a lot of issues with this browser - this is new, 3 weeks or so - I was beginning to think I needed a new tablet:- please fix the issues.",1
90442,Best app ever,1
90444,I AM NOT ABLE TO UPDATE GOOGLE CHROME I DON'T KNOW WHY THIS PROBLEM IS OCCURING KINDLY FIX IT PLEASE,1
