ID,Text,Star
90451,This is to bring to your notice to an urgent solution for updating the the chrome app in my mobile handset.  I am not able to update the chrome app through play store after continuously trying for several times.  Please provide an urgent solution for the same.  Thank you,1
90454,"My security, says to update, and chrome, will not update.",1
90462,It says there is an update? But it will NOT UPDATE.... no matter what I do? What's going on Google? I rely on Google Chrome as my #1 Search.... Please get this FIXED!,1
90467,Nice,1
90478,I want to update Chrome browser but it cant processing,1
90479,"It won't let me use Google chrome without updating the app, but then it won't let me update it! PLEASE FIX THIS ASAP!!",1
90494,Nit abke to update... Tried more than 100 times Can somebody help,1
90511,Unable to update on my oppo a9 2020. I uninstalled previous updates and tried to clear all data cache of google play store and chrome. Still it is not updating.,1
90513,Good,1
99838,Please update my Google Chrome app Please help,1
99849,Why can't I update chrome to the latest version in my redmi k20 ? Is it a bug or anything else ? Please fix it .,1
99853,"What the heck happened to Google Chrome???!!! It used to be awesome just two days ago, and now it seems like a trash. I can't update it or download anything by using it. Please fix this early so that it can be useful like it before...",1
99899,I cannot update the chrome. It has some issues. Please resolve it for me.,1
99905,I cant even update the app on my phone how funny is that. Everytime i hit update it starts and stops instantly. What a Joke.,1
99906,Great,1
99922,App doesn't even update just like all the previous responses since Dec roll-out,1
99924,He is a good app,1
99925,Slow Internet download speed even my internet is stable!,1
99931,"Won't run crashes on startup, excellent testing there 🤔",1
102790,"I'm disappointed in Google to removing conservative apps, blocking conservative news. They have become true communists like China. Im removing everything Google! and I'm going to encourage everyone I know to not use any Google apps anymore. Get ready Google, we the people made you, we can destroy you.",1
102839,Not able to update this application .. pls help..,1
107631,Good,1
107673,How can delete me chrome on my phone Tell me please,1
107716,So good,1
107719,Please update my chrome,1
113042,Good,1
119495,"Used to be a good but it won't update now so it doesn't work properly because it will not update! Even though everytime I open the app it tells me to update but when I click on update it says ""pending"" then stops....?",1
119507,Best app ever,1
119514,"Android System Webview prevents Google chrome from updating. Do something. It first occurred on 10/5 2020, and 1-12-21 today.",1
119518,I am unable to complete an update. I have tried quite a few times but no luck. I don't know why or what to do,1
119530,Value saching,1
